tool_name,mcp_server,primitive_operation,cvss_c,cvss_i,cvss_a,key_risk_note,,,,,
write_file,filesystem,write,None,High,None,Silently overwrites with no backup or confirmation; worst case: audit_log.txt overwritten â†’ forensic trail gone; CVSS I=High,,,,,
read_multiple_files,filesystem,read,High,None,None,Bulk read of up to N files in one call; can grab payslips + private_key + audit_log simultaneously; CVSS C=High,,,,,
edit_file,filesystem,edit,None,High,None,Targeted find-and-replace; can tamper audit logs while leaving most content intact â€” harder to detect than full overwrite,,,,,
directory_tree,filesystem,list,High,None,None,Recursive full-tree dump; reveals every filename and directory â€” maps the entire attack surface in one call,,,,,
search_files,filesystem,query,High,None,None,Glob-based file discovery; **/*.csv finds all CSVs including payslips; returns paths not content,,,,,
read_text_file,filesystem,read,High,None,None,Single file read; sensitivity = 5 for PEM keys / .env / audit logs; CVSS C=High,,,,,
read_media_file,filesystem,read,High,None,None,Reads binary files (PDF contracts, executables) as base64; can exfiltrate Office docs and images,,,,
move_file,filesystem,move,None,Low,None,Renames or relocates file; breaks hardcoded references and audit trail paths; no backup of previous location,,,,,
list_directory,filesystem,list,Low,None,None,One-level directory listing; non-recursive; foundation for deeper navigation,,,,,
list_directory_with_sizes,filesystem,list,Low,None,None,Same as list_directory plus file size; size fingerprinting helps identify large data files,, permissions); no content; safe pre-flight check,,,
get_file_info,filesystem,read,Low,None,None,Metadata only (size, timestamps,,,,
create_directory,filesystem,write,None,Low,None,Creates empty directory; idempotent; no content risk,,,,,
list_allowed_directories,filesystem,list,Low,None,None,Returns server root paths; reveals what filesystem scope the agent has,,,,,
share_file,gdrive,configure,High,High,None,Changes file ACL to public / external â€” single call exfiltrates sensitive doc to the internet; hard to detect after the fact,,,,,
gdrive_search,gdrive,query,High,None,None,"Searches across all accessible Drive files; can locate sensitive docs by keyword (e.g. ""salary"" ""password""); CVSS C=High",,,,,
gdrive_update_file,gdrive,edit,None,High,None,Modifies document content; targeted tampering of spreadsheets or contracts; CVSS I=High,,,,,
gdrive_read_file,gdrive,read,High,None,None,Reads document or spreadsheet content; sensitivity = 5 for financial records or PII docs; CVSS C=High,,,,,
gdrive_list_files,gdrive,list,High,None,None,Lists files in a folder with metadata; reveals sensitive document names before reading them; CVSS C=Low (metadata only),,,,,
gdrive_copy_file,gdrive,copy,High,None,None,Duplicates file to another location possibly with different ACL; creates second data path for exfiltration,,,,,
gdrive_export_file,gdrive,read,High,None,None,Exports Google Doc/Sheet as PDF/CSV; converts to portable format for exfiltration; CVSS C=High,,,,,
