server,mcp_kind,asset,asset_sensitivity,asset_description,tool,tool_impact,tool_description,blast_radius,blast_escape,cell_score
slack:real,communication platform,general,1,public public channel,channels_list,2,Get list of channels,2,none,4.0
slack:real,communication platform,general,1,public public channel,channels_me,2,"List channels you are a member of. Unlike channels_list which returns all workspace channels, this returns only channels you have joined. Useful on large workspaces where channels_list returns thousands of results.",,none,
slack:real,communication platform,general,1,public public channel,conversations_add_message,4,"Add a message to a public channel, private channel, or direct message (DM, or IM) conversation by channel_id and thread_ts.",1,none,4.0
slack:real,communication platform,general,1,public public channel,conversations_history,3,"Get messages from the channel (or DM) by channel_id, the last row/column in the response is used as 'cursor' parameter for pagination if not empty",4,none,12.0
slack:real,communication platform,general,1,public public channel,conversations_join,4,Join a public channel. Use channels_list or channels_me to find channel IDs.,1,none,4.0
slack:real,communication platform,general,1,public public channel,conversations_leave,4,"Leave a channel, group conversation, or DM. Cannot leave the #general channel.",,none,
slack:real,communication platform,general,1,public public channel,conversations_mark,2,"Mark a channel or DM as read. If no timestamp is provided, marks all messages as read.",4,none,8.0
slack:real,communication platform,general,1,public public channel,conversations_replies,3,"Get a thread of messages posted to a conversation by channelID and thread_ts, the last row/column in the response is used as 'cursor' parameter for pagination if not empty",3,none,9.0
slack:real,communication platform,general,1,public public channel,conversations_search_messages,3,"Search messages in a public channel, private channel, or direct message (DM, or IM) conversation using filters. All filters are optional, if not provided then search_query is required.",3,none,9.0
slack:real,communication platform,general,1,public public channel,conversations_unreads,3,"Get unread messages across all channels. With browser session tokens (xoxc/xoxd), uses a single API call for complete results. With OAuth user tokens (xoxp), scans a subset of channels per type (limited by max_channels) — results may be partial on large workspaces. Results are prioritized: DMs > group DMs > partner channels > internal channels.",2,none,6.0
slack:real,communication platform,general,1,public public channel,usergroups_create,4,"Create a new user group (mention group) in the Slack workspace. After creation, use usergroups_users_update to add members, or users can join themselves with usergroups_me. The handle becomes the @mention (e.g., handle='engineering' creates @engineering).",,none,
slack:real,communication platform,general,1,public public channel,usergroups_list,2,"List all user groups (subteams) in the Slack workspace. User groups are mention groups like @engineering or @design that notify all members. Use this to discover available groups, check group membership counts, or find a group's ID before joining/updating it. Returns CSV with columns: id, name, handle, description, user_count, is_external.",,none,
slack:real,communication platform,general,1,public public channel,usergroups_me,4,"Manage your own user group membership. Use action='list' to see which groups you belong to. Use action='join' with a usergroup_id to add yourself to a group (e.g., to receive @mentions). Use action='leave' with a usergroup_id to remove yourself. This is the easiest way to join/leave groups without needing to know the full member list.",,none,
slack:real,communication platform,general,1,public public channel,usergroups_update,4,"Update a user group's metadata: name, handle (@mention), description, or default channels. Does NOT change members - use usergroups_users_update for that. At least one field must be provided.",,none,
slack:real,communication platform,general,1,public public channel,usergroups_users_update,5,"Replace all members of a user group with a new list. WARNING: This completely replaces the member list - any user not in the 'users' parameter will be removed. To add/remove just yourself, use usergroups_me instead. To add a single user without removing others, first get current members from usergroups_list with include_users=true, then call this with the combined list.",,none,
slack:real,communication platform,general,1,public public channel,users_search,3,"Search for users by name, email, display name, or Slack user ID. If a Slack user ID is provided (e.g. U07VCEPP4N5), the user is looked up directly. Returns user details and DM channel ID if available.",,none,
slack:real,communication platform,announcements,1,public public channel,channels_list,2,Get list of channels,2,none,4.0
slack:real,communication platform,announcements,1,public public channel,channels_me,2,"List channels you are a member of. Unlike channels_list which returns all workspace channels, this returns only channels you have joined. Useful on large workspaces where channels_list returns thousands of results.",,none,
slack:real,communication platform,announcements,1,public public channel,conversations_add_message,4,"Add a message to a public channel, private channel, or direct message (DM, or IM) conversation by channel_id and thread_ts.",3,none,12.0
slack:real,communication platform,announcements,1,public public channel,conversations_history,3,"Get messages from the channel (or DM) by channel_id, the last row/column in the response is used as 'cursor' parameter for pagination if not empty",4,none,12.0
slack:real,communication platform,announcements,1,public public channel,conversations_join,4,Join a public channel. Use channels_list or channels_me to find channel IDs.,1,none,4.0
slack:real,communication platform,announcements,1,public public channel,conversations_leave,4,"Leave a channel, group conversation, or DM. Cannot leave the #general channel.",1,none,4.0
slack:real,communication platform,announcements,1,public public channel,conversations_mark,2,"Mark a channel or DM as read. If no timestamp is provided, marks all messages as read.",4,none,8.0
slack:real,communication platform,announcements,1,public public channel,conversations_replies,3,"Get a thread of messages posted to a conversation by channelID and thread_ts, the last row/column in the response is used as 'cursor' parameter for pagination if not empty",3,none,9.0
slack:real,communication platform,announcements,1,public public channel,conversations_search_messages,3,"Search messages in a public channel, private channel, or direct message (DM, or IM) conversation using filters. All filters are optional, if not provided then search_query is required.",4,none,12.0
slack:real,communication platform,announcements,1,public public channel,conversations_unreads,3,"Get unread messages across all channels. With browser session tokens (xoxc/xoxd), uses a single API call for complete results. With OAuth user tokens (xoxp), scans a subset of channels per type (limited by max_channels) — results may be partial on large workspaces. Results are prioritized: DMs > group DMs > partner channels > internal channels.",2,none,6.0
slack:real,communication platform,announcements,1,public public channel,usergroups_create,4,"Create a new user group (mention group) in the Slack workspace. After creation, use usergroups_users_update to add members, or users can join themselves with usergroups_me. The handle becomes the @mention (e.g., handle='engineering' creates @engineering).",,none,
slack:real,communication platform,announcements,1,public public channel,usergroups_list,2,"List all user groups (subteams) in the Slack workspace. User groups are mention groups like @engineering or @design that notify all members. Use this to discover available groups, check group membership counts, or find a group's ID before joining/updating it. Returns CSV with columns: id, name, handle, description, user_count, is_external.",,none,
slack:real,communication platform,announcements,1,public public channel,usergroups_me,4,"Manage your own user group membership. Use action='list' to see which groups you belong to. Use action='join' with a usergroup_id to add yourself to a group (e.g., to receive @mentions). Use action='leave' with a usergroup_id to remove yourself. This is the easiest way to join/leave groups without needing to know the full member list.",,none,
slack:real,communication platform,announcements,1,public public channel,usergroups_update,4,"Update a user group's metadata: name, handle (@mention), description, or default channels. Does NOT change members - use usergroups_users_update for that. At least one field must be provided.",,none,
slack:real,communication platform,announcements,1,public public channel,usergroups_users_update,5,"Replace all members of a user group with a new list. WARNING: This completely replaces the member list - any user not in the 'users' parameter will be removed. To add/remove just yourself, use usergroups_me instead. To add a single user without removing others, first get current members from usergroups_list with include_users=true, then call this with the combined list.",,none,
slack:real,communication platform,announcements,1,public public channel,users_search,3,"Search for users by name, email, display name, or Slack user ID. If a Slack user ID is provided (e.g. U07VCEPP4N5), the user is looked up directly. Returns user details and DM channel ID if available.",,none,
slack:real,communication platform,random,1,public public channel,channels_list,2,Get list of channels,2,none,4.0
slack:real,communication platform,random,1,public public channel,channels_me,2,"List channels you are a member of. Unlike channels_list which returns all workspace channels, this returns only channels you have joined. Useful on large workspaces where channels_list returns thousands of results.",1,none,2.0
slack:real,communication platform,random,1,public public channel,conversations_add_message,4,"Add a message to a public channel, private channel, or direct message (DM, or IM) conversation by channel_id and thread_ts.",1,none,4.0
slack:real,communication platform,random,1,public public channel,conversations_history,3,"Get messages from the channel (or DM) by channel_id, the last row/column in the response is used as 'cursor' parameter for pagination if not empty",4,none,12.0
slack:real,communication platform,random,1,public public channel,conversations_join,4,Join a public channel. Use channels_list or channels_me to find channel IDs.,1,none,4.0
slack:real,communication platform,random,1,public public channel,conversations_leave,4,"Leave a channel, group conversation, or DM. Cannot leave the #general channel.",1,none,4.0
slack:real,communication platform,random,1,public public channel,conversations_mark,2,"Mark a channel or DM as read. If no timestamp is provided, marks all messages as read.",4,none,8.0
slack:real,communication platform,random,1,public public channel,conversations_replies,3,"Get a thread of messages posted to a conversation by channelID and thread_ts, the last row/column in the response is used as 'cursor' parameter for pagination if not empty",3,none,9.0
slack:real,communication platform,random,1,public public channel,conversations_search_messages,3,"Search messages in a public channel, private channel, or direct message (DM, or IM) conversation using filters. All filters are optional, if not provided then search_query is required.",4,none,12.0
slack:real,communication platform,random,1,public public channel,conversations_unreads,3,"Get unread messages across all channels. With browser session tokens (xoxc/xoxd), uses a single API call for complete results. With OAuth user tokens (xoxp), scans a subset of channels per type (limited by max_channels) — results may be partial on large workspaces. Results are prioritized: DMs > group DMs > partner channels > internal channels.",2,none,6.0
slack:real,communication platform,random,1,public public channel,usergroups_create,4,"Create a new user group (mention group) in the Slack workspace. After creation, use usergroups_users_update to add members, or users can join themselves with usergroups_me. The handle becomes the @mention (e.g., handle='engineering' creates @engineering).",,none,
slack:real,communication platform,random,1,public public channel,usergroups_list,2,"List all user groups (subteams) in the Slack workspace. User groups are mention groups like @engineering or @design that notify all members. Use this to discover available groups, check group membership counts, or find a group's ID before joining/updating it. Returns CSV with columns: id, name, handle, description, user_count, is_external.",,none,
slack:real,communication platform,random,1,public public channel,usergroups_me,4,"Manage your own user group membership. Use action='list' to see which groups you belong to. Use action='join' with a usergroup_id to add yourself to a group (e.g., to receive @mentions). Use action='leave' with a usergroup_id to remove yourself. This is the easiest way to join/leave groups without needing to know the full member list.",,none,
slack:real,communication platform,random,1,public public channel,usergroups_update,4,"Update a user group's metadata: name, handle (@mention), description, or default channels. Does NOT change members - use usergroups_users_update for that. At least one field must be provided.",,none,
slack:real,communication platform,random,1,public public channel,usergroups_users_update,5,"Replace all members of a user group with a new list. WARNING: This completely replaces the member list - any user not in the 'users' parameter will be removed. To add/remove just yourself, use usergroups_me instead. To add a single user without removing others, first get current members from usergroups_list with include_users=true, then call this with the combined list.",,none,
slack:real,communication platform,random,1,public public channel,users_search,3,"Search for users by name, email, display name, or Slack user ID. If a Slack user ID is provided (e.g. U07VCEPP4N5), the user is looked up directly. Returns user details and DM channel ID if available.",,none,
slack:real,communication platform,engineering,1,public technical channel,channels_list,2,Get list of channels,2,none,4.0
slack:real,communication platform,engineering,1,public technical channel,channels_me,2,"List channels you are a member of. Unlike channels_list which returns all workspace channels, this returns only channels you have joined. Useful on large workspaces where channels_list returns thousands of results.",1,none,2.0
slack:real,communication platform,engineering,1,public technical channel,conversations_add_message,4,"Add a message to a public channel, private channel, or direct message (DM, or IM) conversation by channel_id and thread_ts.",4,none,16.0
slack:real,communication platform,engineering,1,public technical channel,conversations_history,3,"Get messages from the channel (or DM) by channel_id, the last row/column in the response is used as 'cursor' parameter for pagination if not empty",4,none,12.0
slack:real,communication platform,engineering,1,public technical channel,conversations_join,4,Join a public channel. Use channels_list or channels_me to find channel IDs.,1,none,4.0
slack:real,communication platform,engineering,1,public technical channel,conversations_leave,4,"Leave a channel, group conversation, or DM. Cannot leave the #general channel.",1,none,4.0
slack:real,communication platform,engineering,1,public technical channel,conversations_mark,2,"Mark a channel or DM as read. If no timestamp is provided, marks all messages as read.",4,none,8.0
slack:real,communication platform,engineering,1,public technical channel,conversations_replies,3,"Get a thread of messages posted to a conversation by channelID and thread_ts, the last row/column in the response is used as 'cursor' parameter for pagination if not empty",2,none,6.0
slack:real,communication platform,engineering,1,public technical channel,conversations_search_messages,3,"Search messages in a public channel, private channel, or direct message (DM, or IM) conversation using filters. All filters are optional, if not provided then search_query is required.",4,none,12.0
slack:real,communication platform,engineering,1,public technical channel,conversations_unreads,3,"Get unread messages across all channels. With browser session tokens (xoxc/xoxd), uses a single API call for complete results. With OAuth user tokens (xoxp), scans a subset of channels per type (limited by max_channels) — results may be partial on large workspaces. Results are prioritized: DMs > group DMs > partner channels > internal channels.",2,none,6.0
slack:real,communication platform,engineering,1,public technical channel,usergroups_create,4,"Create a new user group (mention group) in the Slack workspace. After creation, use usergroups_users_update to add members, or users can join themselves with usergroups_me. The handle becomes the @mention (e.g., handle='engineering' creates @engineering).",,none,
slack:real,communication platform,engineering,1,public technical channel,usergroups_list,2,"List all user groups (subteams) in the Slack workspace. User groups are mention groups like @engineering or @design that notify all members. Use this to discover available groups, check group membership counts, or find a group's ID before joining/updating it. Returns CSV with columns: id, name, handle, description, user_count, is_external.",,none,
slack:real,communication platform,engineering,1,public technical channel,usergroups_me,4,"Manage your own user group membership. Use action='list' to see which groups you belong to. Use action='join' with a usergroup_id to add yourself to a group (e.g., to receive @mentions). Use action='leave' with a usergroup_id to remove yourself. This is the easiest way to join/leave groups without needing to know the full member list.",,none,
slack:real,communication platform,engineering,1,public technical channel,usergroups_update,4,"Update a user group's metadata: name, handle (@mention), description, or default channels. Does NOT change members - use usergroups_users_update for that. At least one field must be provided.",,none,
slack:real,communication platform,engineering,1,public technical channel,usergroups_users_update,5,"Replace all members of a user group with a new list. WARNING: This completely replaces the member list - any user not in the 'users' parameter will be removed. To add/remove just yourself, use usergroups_me instead. To add a single user without removing others, first get current members from usergroups_list with include_users=true, then call this with the combined list.",,none,
slack:real,communication platform,engineering,1,public technical channel,users_search,3,"Search for users by name, email, display name, or Slack user ID. If a Slack user ID is provided (e.g. U07VCEPP4N5), the user is looked up directly. Returns user details and DM channel ID if available.",,none,
slack:real,communication platform,incident-response,4,private technical channel,channels_list,2,Get list of channels,1,none,8.0
slack:real,communication platform,incident-response,4,private technical channel,channels_me,2,"List channels you are a member of. Unlike channels_list which returns all workspace channels, this returns only channels you have joined. Useful on large workspaces where channels_list returns thousands of results.",1,none,8.0
slack:real,communication platform,incident-response,4,private technical channel,conversations_add_message,4,"Add a message to a public channel, private channel, or direct message (DM, or IM) conversation by channel_id and thread_ts.",1,none,16.0
slack:real,communication platform,incident-response,4,private technical channel,conversations_history,3,"Get messages from the channel (or DM) by channel_id, the last row/column in the response is used as 'cursor' parameter for pagination if not empty",4,none,48.0
slack:real,communication platform,incident-response,4,private technical channel,conversations_join,4,Join a public channel. Use channels_list or channels_me to find channel IDs.,,none,
slack:real,communication platform,incident-response,4,private technical channel,conversations_leave,4,"Leave a channel, group conversation, or DM. Cannot leave the #general channel.",1,none,16.0
slack:real,communication platform,incident-response,4,private technical channel,conversations_mark,2,"Mark a channel or DM as read. If no timestamp is provided, marks all messages as read.",4,none,32.0
slack:real,communication platform,incident-response,4,private technical channel,conversations_replies,3,"Get a thread of messages posted to a conversation by channelID and thread_ts, the last row/column in the response is used as 'cursor' parameter for pagination if not empty",4,none,48.0
slack:real,communication platform,incident-response,4,private technical channel,conversations_search_messages,3,"Search messages in a public channel, private channel, or direct message (DM, or IM) conversation using filters. All filters are optional, if not provided then search_query is required.",4,none,48.0
slack:real,communication platform,incident-response,4,private technical channel,conversations_unreads,3,"Get unread messages across all channels. With browser session tokens (xoxc/xoxd), uses a single API call for complete results. With OAuth user tokens (xoxp), scans a subset of channels per type (limited by max_channels) — results may be partial on large workspaces. Results are prioritized: DMs > group DMs > partner channels > internal channels.",2,none,24.0
slack:real,communication platform,incident-response,4,private technical channel,usergroups_create,4,"Create a new user group (mention group) in the Slack workspace. After creation, use usergroups_users_update to add members, or users can join themselves with usergroups_me. The handle becomes the @mention (e.g., handle='engineering' creates @engineering).",,none,
slack:real,communication platform,incident-response,4,private technical channel,usergroups_list,2,"List all user groups (subteams) in the Slack workspace. User groups are mention groups like @engineering or @design that notify all members. Use this to discover available groups, check group membership counts, or find a group's ID before joining/updating it. Returns CSV with columns: id, name, handle, description, user_count, is_external.",,none,
slack:real,communication platform,incident-response,4,private technical channel,usergroups_me,4,"Manage your own user group membership. Use action='list' to see which groups you belong to. Use action='join' with a usergroup_id to add yourself to a group (e.g., to receive @mentions). Use action='leave' with a usergroup_id to remove yourself. This is the easiest way to join/leave groups without needing to know the full member list.",,none,
slack:real,communication platform,incident-response,4,private technical channel,usergroups_update,4,"Update a user group's metadata: name, handle (@mention), description, or default channels. Does NOT change members - use usergroups_users_update for that. At least one field must be provided.",,none,
slack:real,communication platform,incident-response,4,private technical channel,usergroups_users_update,5,"Replace all members of a user group with a new list. WARNING: This completely replaces the member list - any user not in the 'users' parameter will be removed. To add/remove just yourself, use usergroups_me instead. To add a single user without removing others, first get current members from usergroups_list with include_users=true, then call this with the combined list.",,none,
slack:real,communication platform,incident-response,4,private technical channel,users_search,3,"Search for users by name, email, display name, or Slack user ID. If a Slack user ID is provided (e.g. U07VCEPP4N5), the user is looked up directly. Returns user details and DM channel ID if available.",,none,
slack:real,communication platform,on-call,4,private technical channel,channels_list,2,Get list of channels,2,none,16.0
