asset,tool,loss_axis,flags,violates,blast,sens_asset,S,I_C,I_I,I_A,score_C,score_I,score_A,driver,score_v6,band_v6,raised_by_cia,floored_by_sensitivity,workings,control,score_v5,band_v5,delta
infra-config,create_or_update_file,I>A>C,hub,I,3,4,4,0,5,0,0,60,0,I,60,high,False,False,4×3×5,require human confirmation — recoverable only if a restore path exists,60.0,high,0.0
infra-config,get_file_contents,I>A>C,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
infra-config,push_files,I>A>C,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
infra-config,create_pull_request,I>A>C,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
infra-config,fork_repository,I>A>C,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
infra-config,create_branch,I>A>C,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
infra-config,list_commits,I>A>C,hub,C,3,4,4,2,2,0,24,24,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),24.0,medium,1.0
infra-config,search_code,I>A>C,hub,C,3,4,4,4,3,0,48,36,0,C,48,medium,True,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,12.0
infra-config,get_pull_request,I>A>C,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
infra-config,list_pull_requests,I>A>C,hub,C,2,4,4,2,2,0,16,16,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),16.0,low,9.0
infra-config,create_pull_request_review,I>A>C,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
infra-config,merge_pull_request,I>A>C,hub,I,5,4,4,0,5,0,0,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,100.0,critical,25.0
infra-config,get_pull_request_files,I>A>C,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
infra-config,get_pull_request_status,I>A>C,hub,C,1,4,4,2,2,0,8,8,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),8.0,low,17.0
infra-config,update_pull_request_branch,I>A>C,hub,I,4,4,4,0,4,0,0,80,0,I,80,high,True,False,4×4×4,require human confirmation — recoverable only if a restore path exists,64.0,high,16.0
infra-config,get_pull_request_reviews,I>A>C,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
payments-service,create_or_update_file,I>C>A,hub,I,3,4,4,0,5,0,0,60,0,I,60,high,False,False,4×3×5,require human confirmation — recoverable only if a restore path exists,60.0,high,0.0
payments-service,get_file_contents,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
payments-service,push_files,I>C>A,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
payments-service,create_pull_request,I>C>A,hub,I,4,4,4,0,4,0,0,80,0,I,80,high,True,False,4×4×4,require human confirmation — recoverable only if a restore path exists,64.0,high,16.0
payments-service,fork_repository,I>C>A,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
payments-service,create_branch,I>C>A,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
payments-service,list_commits,I>C>A,hub,C,3,4,4,2,2,0,24,24,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),24.0,medium,1.0
payments-service,list_issues,I>C>A,hub,C,2,4,4,2,2,0,16,16,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),16.0,low,9.0
