server,mcp_kind,asset,asset_sensitivity,asset_description,tool,tool_impact,tool_description,blast_radius,blast_escape,cell_score
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,list-calendars,2,List all available calendars,1,none,8.0
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,list-events,3,List events from one or more calendars. Supports both calendar IDs and calendar names.,2,none,24.0
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,search-events,3,Search for events in a calendar by text query.,2,none,24.0
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,get-event,3,Get details of a specific event by ID.,1,none,12.0
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,list-colors,2,List available color IDs and their meanings for calendar events,,none,
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,create-event,4,Create a new calendar event.,1,none,16.0
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,create-events,5,"Create multiple calendar events in bulk. Accepts shared defaults (account, calendarId, timeZone) that apply to all events, with per-event overrides. Skips conflict and duplicate detection for speed.",3,none,60.0
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,update-event,4,Update an existing calendar event with recurring event modification scope support.,2,none,32.0
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,delete-event,5,Delete a calendar event.,1,none,20.0
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,get-freebusy,3,Query free/busy information for calendars. Note: Time range is limited to a maximum of 3 months between timeMin and timeMax.,2,none,24.0
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,get-current-time,1,"Get the current date and time. Call this FIRST before creating, updating, or searching for events to ensure you have accurate date context for scheduling.",,none,
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,respond-to-event,5,"Respond to a calendar event invitation with Accept, Decline, Maybe (Tentative), or No Response.",1,none,20.0
calendar:real,calendar system,personal,4,personal calendar — the user's own schedule,manage-accounts,5,"Manage Google account authentication. Actions: 'list' (show accounts), 'add' (authenticate new account), 'remove' (remove account).",,none,
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,list-calendars,2,List all available calendars,1,none,8.0
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,list-events,3,List events from one or more calendars. Supports both calendar IDs and calendar names.,2,none,24.0
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,search-events,3,Search for events in a calendar by text query.,3,none,36.0
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,get-event,3,Get details of a specific event by ID.,1,none,12.0
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,list-colors,2,List available color IDs and their meanings for calendar events,,none,
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,create-event,4,Create a new calendar event.,1,none,16.0
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,create-events,5,"Create multiple calendar events in bulk. Accepts shared defaults (account, calendarId, timeZone) that apply to all events, with per-event overrides. Skips conflict and duplicate detection for speed.",3,none,60.0
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,update-event,4,Update an existing calendar event with recurring event modification scope support.,3,none,48.0
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,delete-event,5,Delete a calendar event.,1,none,20.0
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,get-freebusy,3,Query free/busy information for calendars. Note: Time range is limited to a maximum of 3 months between timeMin and timeMax.,2,none,24.0
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,get-current-time,1,"Get the current date and time. Call this FIRST before creating, updating, or searching for events to ensure you have accurate date context for scheduling.",,none,
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,respond-to-event,5,"Respond to a calendar event invitation with Accept, Decline, Maybe (Tentative), or No Response.",3,none,60.0
calendar:real,calendar system,team,4,team calendar — shared engineering team calendar,manage-accounts,5,"Manage Google account authentication. Actions: 'list' (show accounts), 'add' (authenticate new account), 'remove' (remove account).",,none,
calendar:real,calendar system,executive,4,"executive calendar — exec/board calendar — M&A, comp, strategy meetings",list-calendars,2,List all available calendars,2,none,16.0
calendar:real,calendar system,executive,4,"executive calendar — exec/board calendar — M&A, comp, strategy meetings",list-events,3,List events from one or more calendars. Supports both calendar IDs and calendar names.,4,none,48.0
calendar:real,calendar system,executive,4,"executive calendar — exec/board calendar — M&A, comp, strategy meetings",search-events,3,Search for events in a calendar by text query.,3,none,36.0
calendar:real,calendar system,executive,4,"executive calendar — exec/board calendar — M&A, comp, strategy meetings",get-event,3,Get details of a specific event by ID.,1,none,12.0
calendar:real,calendar system,executive,4,"executive calendar — exec/board calendar — M&A, comp, strategy meetings",list-colors,2,List available color IDs and their meanings for calendar events,,none,
calendar:real,calendar system,executive,4,"executive calendar — exec/board calendar — M&A, comp, strategy meetings",create-event,4,Create a new calendar event.,1,none,16.0
calendar:real,calendar system,executive,4,"executive calendar — exec/board calendar — M&A, comp, strategy meetings",create-events,5,"Create multiple calendar events in bulk. Accepts shared defaults (account, calendarId, timeZone) that apply to all events, with per-event overrides. Skips conflict and duplicate detection for speed.",4,none,80.0
calendar:real,calendar system,executive,4,"executive calendar — exec/board calendar — M&A, comp, strategy meetings",update-event,4,Update an existing calendar event with recurring event modification scope support.,3,none,48.0
