asset,asset_sensitivity,tool,tool_impact,blast_old,blast_new,score_old,score_new,band_old,band_new,reason
projects/db_schema.sql,3,write_file,5,1,4,15,60,medium,high,P1: Impact 5 (destroy/overwrite) should not have a lower score than impact 3 unless reach is genuinely less.
projects/known_defects.csv,4,read_multiple_files,3,1,3,12,36,high,high,P2: read_multiple_files should have a higher blast radius than read_file and read_text_file as it affects more files.
projects/known_defects.csv,4,write_file,5,1,4,20,80,medium,high,"P1: write_file, with impact 5, should not have a lower total score than edit_file which has an impact of 4 but higher blast radius."
sensitive/financials/payslips_q1.csv,4,write_file,5,3,5,60,100,high,high,P1: Impact of 5 should not have a lower blast radius than impacts 2-3 unless it genuinely reaches less.
sensitive/security/audit_log.txt,4,read_multiple_files,3,1,2,12,24,high,high,P2: read_multiple_files should have a higher blast radius than read_file as it affects more files.
sensitive/security/audit_log.txt,4,write_file,5,1,2,20,40,medium,high,"P1: write_file, with impact 5, should not have a lower or equal blast radius compared to tools with lesser impacts unless its reach is genuinely less."
sensitive/security/private_key.pem,5,list_directory,2,1,5,10,50,high,high,P2
sensitive/security/private_key.pem,5,list_directory_with_sizes,2,1,5,10,50,high,high,P2
sensitive/security/private_key.pem,5,search_files,2,1,5,10,50,high,high,P2
source_code/core.c,4,read_multiple_files,3,1,4,12,48,high,critical,"P2: Among tools with impact tier 3, 'read_multiple_files' should have a blast radius >= 'read_file'."
/,5,write_file,5,4,5,100,125,high,high,P1: Impact 5 actions should not have a lower blast radius than impact 2-3 unless reaching far less.
sensitive/,5,list_directory,2,2,3,20,30,high,high,P2: list_directory should have blast >= a tool with similar impact but broader reach like directory_tree
sensitive/,5,list_directory_with_sizes,2,2,3,20,30,high,high,P2: list_directory_with_sizes should have blast >= a tool with similar impact but broader reach like directory_tree
sensitive/,5,search_files,2,2,3,20,30,high,high,P2: search_files should have blast >= a tool with similar impact but broader reach like directory_tree
sensitive/,5,get_file_info,2,2,3,20,30,high,high,P2: get_file_info should have blast >= a tool with similar impact but broader reach like directory_tree
sensitive/,5,list_allowed_directories,2,2,3,20,30,high,high,P2: list_allowed_directories should have blast >= a tool with similar impact but broader reach like directory_tree
projects/,3,write_file,5,3,4,45,60,high,high,P1: Impact 5 should not have a lower blast radius than impact 3 unless it genuinely reaches less.
sensitive/security/,5,list_directory_with_sizes,2,2,5,20,50,high,high,"P3: blast radius should reflect reach, not just item count"
sensitive/security/,5,directory_tree,2,2,5,20,50,high,high,"P3: blast radius should reflect reach, not just item count"
onboarding/,2,list_directory,2,4,5,16,20,medium,medium,"P2: Among tools of the same impact tier, 'list_directory' should have a blast radius >= other narrower tools due to its broader reach."
sensitive/financials/,4,get_file_info,2,4,2,32,16,high,medium,"P3: blast prices reach only, a silent effect should not have higher blast than more visible effects"
source_code/,4,write_file,5,4,5,80,100,high,high,P1: Impact 5 (destroy/overwrite) should not have a lower blast radius than impact 3 or less unless it genuinely reaches fewer items.
file-contents,5,read_media_file,3,1,5,15,75,high,critical,"P2: Among tools of the same impact tier, one whose single call reaches more must have blast >= a narrower tool's."
file-records,3,write_file,5,1,3,15,45,medium,high,P1: Impact 5 should not have a lower blast radius than impact 3 when affecting similar reach.
file-directory,4,list_directory,2,4,3,32,24,high,high,"P2: list_directory_with_sizes and directory_tree have blast_radius of 4, so list_directory should not exceed this."
file-directory,4,directory_tree,2,4,3,32,24,high,high,"P2: list_directory has a lower blast_radius, but directory_tree should not be higher if it's similarly scoped."
