tool,impact,confidence,evidence,capability_flags
channels_list,2,0.8,tier-3 verbs: get; return-shape marker -> capped at 2,unbounded: `limit` caller controls result volume; raw-query: `query` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
channels_me,2,0.8,tier-2 verbs: list,unbounded: `limit` caller controls result volume
conversations_add_message,4,0.8,tier-4 verbs: add,
conversations_history,3,0.8,"tier-3 verbs: get, histor(y|ies)",unbounded: `limit` caller controls result volume
conversations_join,4,0.8,tier-4 verbs: join,
conversations_leave,4,0.8,tier-4 verbs: leave,
conversations_mark,2,0.8,tier-3 verbs: read; return-shape marker -> capped at 2,
conversations_replies,3,0.8,"tier-3 verbs: get, replies, thread",unbounded: `limit` caller controls result volume
conversations_search_messages,3,0.8,tier-3 verbs: search,unbounded: `limit` caller controls result volume
conversations_unreads,3,0.8,tier-3 verbs: get,
usergroups_create,4,0.8,"tier-4 verbs: create, join",
usergroups_list,2,0.8,"tier-2 verbs: list, counts?, names?",
usergroups_me,5,0.8,tier-5 verbs: remove,
usergroups_update,4,0.8,tier-4 verbs: update,
usergroups_users_update,5,0.8,tier-5 verbs: remove,
users_search,3,0.8,"tier-3 verbs: search, display, details?",unbounded: `limit` caller controls result volume; raw-query: `query` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
