rank,atomic_op,severity,severity_label,reasoning
1,EXECUTE,5,Critical,Arbitrary code/command execution — total system compromise
2,DELETE,5,Critical,Irreversible data destruction
3,OVERWRITE,4,High,Corrupts existing data in full (harder to detect than delete)
4,SCHEMA_MODIFY,4,High,Structural damage — alters tables/dirs cascading failures
5,BROADCAST,4,High,Sends data externally/to users — exfiltration + impersonation irreversible
6,WRITE,3,Medium,Injects new data — malicious persistence poisoning
7,MODIFY,3,Medium,Tampers with existing data — integrity violation
8,MOVE,3,Medium,Relocates resources — disrupts access can hide/expose sensitive data
9,CREATE,3,Medium,Creates a new persistent resource (file directory table record) — staging area; enables follow-on write/overwrite operations
10,READ,2,Low,Accesses content — confidentiality breach / exfiltration
11,SEARCH,2,Low,Targeted discovery — finds sensitive data efficiently
12,METADATA,1,Low,Gets attributes without content — structural reconnaissance
13,LIST,1,Low,Enumerates resources — lightweight existence discovery
