tool,impact,confidence,evidence,capability_flags
get_ticker_data,3,0.8,tier-3 verbs: get,
get_price_history,3,0.8,"tier-3 verbs: get, histor(y|ies)",
get_financial_statements,3,0.8,tier-3 verbs: get,
get_earnings_history,3,0.8,"tier-3 verbs: get, histor(y|ies)",
get_ticker_news_tool,3,0.8,"tier-3 verbs: get, research",
super_option_tool,3,0.35,no verb evidence -> annotation/default,
get_top25_holders,3,0.8,tier-3 verbs: get,
get_insider_trades,3,0.8,tier-3 verbs: get,
get_overall_sentiment_tool,3,0.8,tier-3 verbs: get,
get_historical_fng_tool,3,0.8,"tier-3 verbs: get, retrieve",
analyze_fng_trend,3,0.35,no verb evidence -> annotation/default,
calculate,3,0.8,tier-3 verbs: calculate,raw-query: `expression` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
get_current_time,1,0.8,tier-3 verbs: get; return-shape marker -> capped at 1,
get_fred_series,3,0.8,tier-3 verbs: get,
search_fred_series,3,0.8,tier-3 verbs: search,raw-query: `query` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
cnbc_news_feed,3,0.8,tier-3 verbs: get,
social_media_feed,3,0.8,tier-3 verbs: get; bulk signal (array param or bulk wording),
