asset,description,tools,flags,cia
exec-private,Officers' private channel — unreleased strategy and compensation discussion,conversations_history conversations_replies conversations_search_messages conversations_add_message conversations_join conversations_leave,,C>I>A
hr-internal,HR private channel — personnel matters and salary data,conversations_history conversations_replies conversations_search_messages conversations_add_message conversations_join conversations_leave,,C>I>A
incident-response,Live incident channel; credentials are routinely pasted mid-incident,conversations_history conversations_replies conversations_search_messages conversations_add_message conversations_join conversations_leave,self-sufficient,C>I>A
on-call,Live operational traffic for the on-call rotation,conversations_history conversations_replies conversations_search_messages conversations_add_message conversations_join conversations_leave,,C>I>A
team-leads,Management-only discussion channel,conversations_history conversations_replies conversations_search_messages conversations_add_message conversations_join conversations_leave,,C>I>A
research-team,Pre-publication research discussion,conversations_history conversations_replies conversations_search_messages conversations_add_message conversations_join conversations_leave,,C>I>A
engineering,Ordinary engineering traffic,conversations_history conversations_replies conversations_search_messages conversations_add_message conversations_join conversations_leave,,C>I>A
general,Whole-company channel,conversations_history conversations_replies conversations_search_messages conversations_add_message conversations_join conversations_leave,public,C>I>A
announcements,"Broadcast channel, already seen by everyone; only spoofing matters",conversations_history conversations_replies conversations_search_messages conversations_add_message conversations_join,public,I>C>A
random,Social channel,conversations_history conversations_replies conversations_search_messages conversations_add_message conversations_join conversations_leave,public,C>I>A
channel-messages,What a history read or search returns; inherits the most sensitive channel in scope,conversations_history conversations_replies conversations_search_messages conversations_add_message,population,C>I>A
usergroup-membership,Who belongs to a user group — the access-control list for the private channels,usergroups_users_update usergroups_create usergroups_update usergroups_me,hub,I>C>A
user-group-membership,The same access-control list under the platform's alternate naming,usergroups_users_update usergroups_update,hub,I>C>A
agent-channel-membership,Which channels the agent itself has joined; joining grants read access to history,conversations_join conversations_leave channels_me,hub,I>C>A
user-directory,"Workspace member records — names, emails, phone numbers, one per person",users_search,population,C>I>A
channel-directory,"The list of channels, their names and topics; no messages",channels_list,metadata-only,C>I>A
usergroup-directory,The list of user groups,usergroups_list,metadata-only,C>I>A
usergroup-metadata,"Group names, handles and descriptions",usergroups_list usergroups_update usergroups_create,metadata-only,C>I>A
read-markers,Per-conversation seen/unseen cursors; says nothing about content,conversations_mark conversations_unreads,metadata-only,I>A>C
message-reactions,Emoji-reaction state on existing messages; reactions act as acknowledgement,,metadata-only,I>C>A
