tool,impact,confidence,evidence,capability_flags
list-calendars,2,0.8,tier-2 verbs: list,
list-events,2,0.8,"tier-2 verbs: list, names?, ids?; bulk signal (array param or bulk wording)",
search-events,3,0.8,"tier-3 verbs: search, query; bulk signal (array param or bulk wording)",raw-query: `query` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
get-event,3,0.8,"tier-3 verbs: get, details?; bulk signal (array param or bulk wording)",
list-colors,2,0.8,"tier-2 verbs: list, ids?",
create-event,5,0.8,tier-4 verbs: create; bulk signal (array param or bulk wording); parameter evidence raises tier 4 -> 5,outbound: `sendUpdates` can emit a message outside the system; path: `source` takes a filesystem path (unconstrained: no enum/pattern/format)
create-events,5,0.8,tier-4 verbs: create; bulk signal (array param or bulk wording); parameter evidence raises tier 4 -> 5,outbound: `sendUpdates` can emit a message outside the system
update-event,5,0.8,tier-4 verbs: update; bulk signal (array param or bulk wording); parameter evidence raises tier 4 -> 5,outbound: `sendUpdates` can emit a message outside the system
delete-event,5,0.8,tier-5 verbs: delete,outbound: `sendUpdates` can emit a message outside the system
get-freebusy,2,0.8,"tier-3 verbs: get, query; return-shape marker -> capped at 2; bulk signal (array param or bulk wording)",
get-current-time,1,0.8,tier-3 verbs: get; return-shape marker -> capped at 1,
respond-to-event,4,0.8,tier-4 verbs: respond,outbound: `sendUpdates` can emit a message outside the system
manage-accounts,5,0.8,tier-5 verbs: remove,
