tool,impact,confidence,evidence,capability_flags
create_or_update_file,5,0.8,"tier-4 verbs: create, update; create-or-overwrite in one tool -> 5",path: `path` takes a filesystem path (unconstrained: no enum/pattern/format)
search_repositories,3,0.8,tier-3 verbs: search,raw-query: `query` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
create_repository,4,0.8,tier-4 verbs: create,
get_file_contents,3,0.8,"tier-3 verbs: get, contents?",path: `path` takes a filesystem path (unconstrained: no enum/pattern/format)
push_files,5,0.8,tier-5 verbs: push; bulk signal (array param or bulk wording),
create_issue,4,0.8,tier-4 verbs: create; bulk signal (array param or bulk wording),
create_pull_request,4,0.8,tier-4 verbs: create,
fork_repository,4,0.8,tier-4 verbs: fork,
create_branch,4,0.8,"tier-4 verbs: create, branch",
list_commits,3,0.8,tier-3 verbs: get,
list_issues,2,0.8,tier-2 verbs: list; bulk signal (array param or bulk wording),
update_issue,4,0.8,tier-4 verbs: update; bulk signal (array param or bulk wording),
add_issue_comment,4,0.8,"tier-4 verbs: add, comment",
search_code,3,0.8,tier-3 verbs: search,raw-query: `q` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
search_issues,3,0.8,tier-3 verbs: search,raw-query: `q` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
search_users,3,0.8,tier-3 verbs: search,raw-query: `q` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
get_issue,3,0.8,"tier-3 verbs: get, details?",
get_pull_request,3,0.8,"tier-3 verbs: get, details?",
list_pull_requests,2,0.8,tier-2 verbs: list,
create_pull_request_review,4,0.8,tier-4 verbs: create; bulk signal (array param or bulk wording),
merge_pull_request,5,0.8,tier-5 verbs: merge,
get_pull_request_files,3,0.8,tier-3 verbs: get,
get_pull_request_status,2,0.8,tier-3 verbs: get; return-shape marker -> capped at 2,
update_pull_request_branch,4,0.8,"tier-4 verbs: branch, update",
get_pull_request_comments,3,0.8,tier-3 verbs: get,
get_pull_request_reviews,3,0.8,tier-3 verbs: get,
