asset,tool,sensitivity,blast,impact,score,band
vireo-unblinding,channels_list,5,N/A,2,N/A,na
vireo-unblinding,channels_me,5,4,2,40,medium
vireo-unblinding,conversations_add_message,5,5,3,75,high
vireo-unblinding,conversations_history,5,4,3,60,high
vireo-unblinding,conversations_join,5,5,2,50,high
vireo-unblinding,conversations_leave,5,4,5,100,critical
vireo-unblinding,conversations_mark,5,N/A,2,N/A,na
vireo-unblinding,conversations_replies,5,5,3,75,high
vireo-unblinding,conversations_search_messages,5,5,3,75,high
vireo-unblinding,conversations_unreads,5,4,2,40,medium
vireo-unblinding,usergroups_create,5,N/A,4,N/A,na
vireo-unblinding,usergroups_list,5,N/A,2,N/A,na
vireo-unblinding,usergroups_me,5,N/A,5,N/A,na
vireo-unblinding,usergroups_update,5,N/A,3,N/A,na
vireo-unblinding,usergroups_users_update,5,N/A,5,N/A,na
vireo-unblinding,users_search,5,N/A,3,N/A,na
vireo-safety-pv,channels_list,5,N/A,2,N/A,na
vireo-safety-pv,channels_me,5,4,2,40,medium
vireo-safety-pv,conversations_add_message,5,4,3,60,high
vireo-safety-pv,conversations_history,5,5,3,75,high
vireo-safety-pv,conversations_join,5,4,2,40,medium
vireo-safety-pv,conversations_leave,5,4,5,100,critical
vireo-safety-pv,conversations_mark,5,N/A,2,N/A,na
vireo-safety-pv,conversations_replies,5,5,3,75,high
vireo-safety-pv,conversations_search_messages,5,4,3,60,high
vireo-safety-pv,conversations_unreads,5,4,2,40,medium
vireo-safety-pv,usergroups_create,5,N/A,4,N/A,na
vireo-safety-pv,usergroups_list,5,N/A,2,N/A,na
vireo-safety-pv,usergroups_me,5,N/A,5,N/A,na
vireo-safety-pv,usergroups_update,5,N/A,3,N/A,na
vireo-safety-pv,usergroups_users_update,5,N/A,5,N/A,na
vireo-safety-pv,users_search,5,N/A,3,N/A,na
vireo-regulatory-fda,channels_list,4,N/A,2,N/A,na
vireo-regulatory-fda,channels_me,4,N/A,2,N/A,na
vireo-regulatory-fda,conversations_add_message,4,3,3,36,medium
vireo-regulatory-fda,conversations_history,4,4,3,48,medium
vireo-regulatory-fda,conversations_join,4,4,2,32,medium
vireo-regulatory-fda,conversations_leave,4,3,5,60,high
vireo-regulatory-fda,conversations_mark,4,3,2,24,medium
vireo-regulatory-fda,conversations_replies,4,3,3,36,medium
vireo-regulatory-fda,conversations_search_messages,4,3,3,36,medium
vireo-regulatory-fda,conversations_unreads,4,N/A,2,N/A,na
vireo-regulatory-fda,usergroups_create,4,N/A,4,N/A,na
vireo-regulatory-fda,usergroups_list,4,N/A,2,N/A,na
vireo-regulatory-fda,usergroups_me,4,N/A,5,N/A,na
vireo-regulatory-fda,usergroups_update,4,N/A,3,N/A,na
vireo-regulatory-fda,usergroups_users_update,4,N/A,5,N/A,na
vireo-regulatory-fda,users_search,4,N/A,3,N/A,na
vireo-trial-ops,channels_list,4,N/A,2,N/A,na
vireo-trial-ops,channels_me,4,3,2,24,medium
vireo-trial-ops,conversations_add_message,4,3,3,36,medium
vireo-trial-ops,conversations_history,4,4,3,48,medium
vireo-trial-ops,conversations_join,4,3,2,24,medium
vireo-trial-ops,conversations_leave,4,3,5,60,high
vireo-trial-ops,conversations_mark,4,N/A,2,N/A,na
vireo-trial-ops,conversations_replies,4,3,3,36,medium
vireo-trial-ops,conversations_search_messages,4,3,3,36,medium
vireo-trial-ops,conversations_unreads,4,N/A,2,N/A,na
vireo-trial-ops,usergroups_create,4,N/A,4,N/A,na
vireo-trial-ops,usergroups_list,4,N/A,2,N/A,na
vireo-trial-ops,usergroups_me,4,N/A,5,N/A,na
vireo-trial-ops,usergroups_update,4,N/A,3,N/A,na
vireo-trial-ops,usergroups_users_update,4,N/A,5,N/A,na
vireo-trial-ops,users_search,4,N/A,3,N/A,na
vireo-lab-informatics,channels_list,4,N/A,2,N/A,na
vireo-lab-informatics,channels_me,4,N/A,2,N/A,na
vireo-lab-informatics,conversations_add_message,4,3,3,36,medium
vireo-lab-informatics,conversations_history,4,3,3,36,medium
vireo-lab-informatics,conversations_join,4,3,2,24,medium
vireo-lab-informatics,conversations_leave,4,3,5,60,high
vireo-lab-informatics,conversations_mark,4,N/A,2,N/A,na
vireo-lab-informatics,conversations_replies,4,3,3,36,medium
vireo-lab-informatics,conversations_search_messages,4,3,3,36,medium
vireo-lab-informatics,conversations_unreads,4,3,2,24,medium
vireo-lab-informatics,usergroups_create,4,N/A,4,N/A,na
vireo-lab-informatics,usergroups_list,4,N/A,2,N/A,na
vireo-lab-informatics,usergroups_me,4,N/A,5,N/A,na
vireo-lab-informatics,usergroups_update,4,N/A,3,N/A,na
vireo-lab-informatics,usergroups_users_update,4,N/A,5,N/A,na
vireo-lab-informatics,users_search,4,N/A,3,N/A,na
vireo-eng-platform,channels_list,3,N/A,2,N/A,na
vireo-eng-platform,channels_me,3,1,2,6,low
vireo-eng-platform,conversations_add_message,3,1,3,9,low
vireo-eng-platform,conversations_history,3,3,3,27,medium
vireo-eng-platform,conversations_join,3,4,2,24,medium
vireo-eng-platform,conversations_leave,3,3,5,45,medium
vireo-eng-platform,conversations_mark,3,4,2,24,medium
vireo-eng-platform,conversations_replies,3,3,3,27,medium
vireo-eng-platform,conversations_search_messages,3,3,3,27,medium
vireo-eng-platform,conversations_unreads,3,2,2,12,low
vireo-eng-platform,usergroups_create,3,N/A,4,N/A,na
vireo-eng-platform,usergroups_list,3,N/A,2,N/A,na
vireo-eng-platform,usergroups_me,3,N/A,5,N/A,na
vireo-eng-platform,usergroups_update,3,N/A,3,N/A,na
vireo-eng-platform,usergroups_users_update,3,N/A,5,N/A,na
vireo-eng-platform,users_search,3,N/A,3,N/A,na
vireo-announcements,channels_list,1,1,2,2,low
vireo-announcements,channels_me,1,N/A,2,N/A,na
vireo-announcements,conversations_add_message,1,1,3,3,low
vireo-announcements,conversations_history,1,4,3,12,low
