tool,impact,confidence,evidence,capability_flags
read_file,3,0.95,"readOnlyHint=true -> ceiling 3; tier-3 verbs: read, contents?",path: `path` takes a filesystem path (unconstrained: no enum/pattern/format)
read_text_file,3,0.95,"readOnlyHint=true -> ceiling 3; tier-3 verbs: read, tail, contents?",path: `path` takes a filesystem path (unconstrained: no enum/pattern/format)
read_media_file,3,0.95,readOnlyHint=true -> ceiling 3; tier-3 verbs: read,path: `path` takes a filesystem path (unconstrained: no enum/pattern/format)
read_multiple_files,3,0.95,"readOnlyHint=true -> ceiling 3; tier-3 verbs: read, contents?; bulk signal (array param or bulk wording)",
write_file,5,0.95,"readOnlyHint=false; destructiveHint=true; tier-5 verbs: overwrit(e|ing), completely overwrite",path: `path` takes a filesystem path (unconstrained: no enum/pattern/format)
edit_file,4,0.95,readOnlyHint=false; destructiveHint=true; tier-4 verbs: edit; bulk signal (array param or bulk wording),path: `path` takes a filesystem path (unconstrained: no enum/pattern/format); dry-run: `dryRun` offers a dry-run — the real call is consequential; non-idempotent write: a retry repeats the effect
create_directory,4,0.95,readOnlyHint=false; tier-4 verbs: create; bulk signal (array param or bulk wording),path: `path` takes a filesystem path (unconstrained: no enum/pattern/format)
list_directory,2,0.95,readOnlyHint=true -> ceiling 3; tier-3 verbs: get; return-shape marker -> capped at 2,path: `path` takes a filesystem path (unconstrained: no enum/pattern/format)
list_directory_with_sizes,2,0.95,readOnlyHint=true -> ceiling 3; tier-3 verbs: get; return-shape marker -> capped at 2,path: `path` takes a filesystem path (unconstrained: no enum/pattern/format)
directory_tree,3,0.95,readOnlyHint=true -> ceiling 3; tier-3 verbs: get; bulk signal (array param or bulk wording),path: `path` takes a filesystem path (unconstrained: no enum/pattern/format)
move_file,4,0.95,readOnlyHint=false; tier-4 verbs: move,path: `source` takes a filesystem path (unconstrained: no enum/pattern/format); path: `destination` takes a filesystem path (unconstrained: no enum/pattern/format); non-idempotent write: a retry repeats the effect
search_files,3,0.95,readOnlyHint=true -> ceiling 3; tier-3 verbs: search; bulk signal (array param or bulk wording),path: `path` takes a filesystem path (unconstrained: no enum/pattern/format); glob: `pattern` takes a pattern — one call can select many items
get_file_info,2,0.95,"readOnlyHint=true -> ceiling 3; tier-3 verbs: get, retrieve; return-shape marker -> capped at 2",path: `path` takes a filesystem path (unconstrained: no enum/pattern/format)
list_allowed_directories,2,0.95,readOnlyHint=true -> ceiling 3; tier-2 verbs: list,
