asset,description,tools,flags,cia
infra-config,Terraform and deploy configuration for the production estate; a merge reconfigures production,get_file_contents search_code list_commits create_or_update_file push_files create_branch create_pull_request merge_pull_request,hub,I>A>C
payments-service,Money-handling service code; a merge reaches live payment processing,get_file_contents search_code list_commits create_or_update_file push_files create_branch create_pull_request merge_pull_request,hub,I>C>A
backend-api,Core service source; a merge reaches production behavior,get_file_contents search_code list_commits create_or_update_file push_files create_branch create_pull_request merge_pull_request,hub,I>C>A
ml-research,"Unpublished research, models and dataset pointers",get_file_contents search_code list_commits create_or_update_file push_files create_pull_request,,C>I>A
internal-docs,Internal engineering documentation and runbooks,get_file_contents search_code list_commits create_or_update_file push_files create_pull_request,,C>I>A
public-website,The public marketing site repository; already published,get_file_contents search_code list_commits create_or_update_file push_files create_pull_request,public,I>C>A
repository-contents,What a file read or write reaches: code bodies across every repo in scope,get_file_contents create_or_update_file push_files,,C>I>A
code-records,Code search results — snippets drawn from every repo in scope at once,search_code,population,C>I>A
branch-heads,Where each branch points; a force-move or merge rewrites what deploys,create_branch push_files merge_pull_request update_pull_request_branch create_or_update_file,hub,I>A>C
pull-requests-and-reviews,"Proposed changes and their approvals — the review gate itself, carrying unmerged code",create_pull_request create_pull_request_review merge_pull_request update_pull_request_branch list_pull_requests get_pull_request get_pull_request_files get_pull_request_status get_pull_request_comments get_pull_request_reviews,hub,I>C>A
pull-request-records,"What a PR write creates, edits or merges",create_pull_request create_pull_request_review merge_pull_request update_pull_request_branch,hub,I>C>A
issues-and-comments,Issue threads and their comments; internal discussion,get_issue list_issues search_issues create_issue update_issue add_issue_comment,,C>I>A
issue-records,What an issue write creates or edits,create_issue update_issue add_issue_comment,,I>C>A
org-external-copies,Forks and repositories created outside the org boundary; content leaves the org on creation,fork_repository create_repository,population,C>I>A
repository-records,What a repository-level write creates,create_repository,hub,I>C>A
repository-catalog,"The list of repository names, descriptions and visibility; no code",search_repositories,metadata-only,C>I>A
branch-directory,"Branch names and refs, no contents",create_branch list_commits,metadata-only,C>I>A
commit-list,"Commit messages and metadata, no diffs",list_commits,metadata-only,C>I>A
issue-catalog,"Issue listings and search hit lists, no bodies",list_issues search_issues,metadata-only,C>I>A
platform-user-directory,Public GitHub account and organization records the org can search,search_users,public,C>I>A
