asset,description,tools,flags,cia
connected-account-config,Which accounts are linked and with what scope; the reach of every other tool,manage-accounts,self-sufficient hub,I≈C>A
contacts,One record per person — the whole directory reachable through attendee fields,create-event update-event get-event list-events,population,C>I>A
event-attendee-lists,Who is invited to an event — the people behind the entry,get-event list-events search-events,population,C>I>A
executive,Officers' calendars; titles and attendee lists disclose deals and departures without opening a body,list-events search-events get-event create-event update-event delete-event,,C>I>A
recruiting,Interview scheduling; attendee names are candidate identities,list-events search-events get-event create-event update-event delete-event,,C>I>A
outbound-invite-email,"Mail leaving the org under its identity when an event with external attendees is created, changed, or cancelled; unrecallable",create-event create-events update-event delete-event,,I>C>A
account-directory,The list of linked accounts,manage-accounts,metadata-only,C>I>A
personal,An individual employee's own schedule,list-events search-events get-event create-event update-event delete-event respond-to-event,,C>A>I
team,Ordinary team scheduling calendar,list-events search-events get-event create-event update-event delete-event respond-to-event,,C>A>I
event-records,What a create/update/delete targets: any event on any calendar in scope,create-event create-events update-event delete-event respond-to-event,,A>I>C
calendar-records,Calendar-level attributes a read returns,list-calendars,,C>I>A
free-busy-availability,Busy blocks with no titles or attendees,get-freebusy,metadata-only,C>A>I
calendar-directory,"The list of calendars, no events",list-calendars,metadata-only,C>I>A
rsvp-state,Accept/decline state on one invitation,respond-to-event,metadata-only,I>A>C
holidays,The published org holiday calendar,list-events get-event,public,I>C>A
color-catalog,The static colour palette,list-colors,public,none
