server,tool,v5_impact,v5_source,v5_static_confidence,v5_evidence,v4_impact
calendar_real,create-event,4,static_ladder,0.8,tier-4 verbs: \bcreate\b; bulk signal (array param or bulk wording),4
calendar_real,create-events,4,static_ladder,0.8,tier-4 verbs: \bcreate\b; bulk signal (array param or bulk wording),4
calendar_real,delete-event,5,static_ladder,0.8,tier-5 verbs: \bdelete\b,5
calendar_real,get-current-time,1,static_ladder,0.8,tier-3 verbs: \bget\b; return-shape marker -> capped at 1,1
calendar_real,get-event,3,static_ladder,0.8,"tier-3 verbs: \bget\b, \bdetails?\b; bulk signal (array param or bulk wording)",3
calendar_real,get-freebusy,2,static_ladder,0.8,"tier-3 verbs: \bget\b, \bquery\b; return-shape marker -> capped at 2; bulk signal (array param or bulk wording)",2
calendar_real,list-calendars,2,static_ladder,0.8,tier-2 verbs: \blist\b,2
calendar_real,list-colors,2,static_ladder,0.8,"tier-2 verbs: \blist\b, \bids?\b",2
calendar_real,list-events,2,static_ladder,0.8,"tier-2 verbs: \blist\b, \bnames?\b, \bids?\b; bulk signal (array param or bulk wording)",2
calendar_real,manage-accounts,5,static_ladder,0.8,tier-5 verbs: \bremove\b,5
calendar_real,respond-to-event,4,static_ladder,0.8,tier-4 verbs: \brespond\b,4
calendar_real,search-events,3,static_ladder,0.8,"tier-3 verbs: \bsearch\b, \bquery\b; bulk signal (array param or bulk wording)",3
calendar_real,update-event,4,static_ladder,0.8,tier-4 verbs: \bupdate\b; bulk signal (array param or bulk wording),4
github_real,add_issue_comment,4,static_ladder,0.8,"tier-4 verbs: \badd\b, \bcomment\b",4
github_real,create_branch,4,static_ladder,0.8,"tier-4 verbs: \bcreate\b, \bbranch\b",4
github_real,create_issue,4,static_ladder,0.8,tier-4 verbs: \bcreate\b; bulk signal (array param or bulk wording),4
github_real,create_or_update_file,5,static_ladder,0.8,"tier-4 verbs: \bcreate\b, \bupdate\b; create-or-overwrite in one tool -> 5",5
github_real,create_pull_request,4,static_ladder,0.8,tier-4 verbs: \bcreate\b,4
github_real,create_pull_request_review,4,static_ladder,0.8,tier-4 verbs: \bcreate\b; bulk signal (array param or bulk wording),4
github_real,create_repository,4,static_ladder,0.8,tier-4 verbs: \bcreate\b,4
github_real,fork_repository,4,static_ladder,0.8,tier-4 verbs: \bfork\b,4
github_real,get_file_contents,3,static_ladder,0.8,"tier-3 verbs: \bget\b, \bcontents?\b",3
github_real,get_issue,3,static_ladder,0.8,"tier-3 verbs: \bget\b, \bdetails?\b",3
github_real,get_pull_request,3,static_ladder,0.8,"tier-3 verbs: \bget\b, \bdetails?\b",3
github_real,get_pull_request_comments,3,static_ladder,0.8,tier-3 verbs: \bget\b,3
github_real,get_pull_request_files,3,static_ladder,0.8,tier-3 verbs: \bget\b,2
github_real,get_pull_request_reviews,3,static_ladder,0.8,tier-3 verbs: \bget\b,3
github_real,get_pull_request_status,2,static_ladder,0.8,tier-3 verbs: \bget\b; return-shape marker -> capped at 2,2
github_real,list_commits,2,static_ladder,0.8,tier-3 verbs: \bget\b; named a listing; only a generic read verb above it -> 2,2
github_real,list_issues,2,static_ladder,0.8,tier-2 verbs: \blist\b; bulk signal (array param or bulk wording),2
github_real,list_pull_requests,2,static_ladder,0.8,tier-2 verbs: \blist\b,2
github_real,merge_pull_request,5,static_ladder,0.8,tier-5 verbs: \bmerge\b,5
github_real,push_files,4,static_ladder,0.8,tier-4 verbs: \bpush\b; bulk signal (array param or bulk wording),4
github_real,search_code,3,static_ladder,0.8,tier-3 verbs: \bsearch\b,3
github_real,search_issues,3,static_ladder,0.8,tier-3 verbs: \bsearch\b,3
github_real,search_repositories,2,static_ladder,0.8,tier-3 verbs: \bsearch\b; generic verb over a CONTAINER -> catalog of names (2),2
github_real,search_users,3,static_ladder,0.8,tier-3 verbs: \bsearch\b,2
github_real,update_issue,4,static_ladder,0.8,tier-4 verbs: \bupdate\b; bulk signal (array param or bulk wording),4
github_real,update_pull_request_branch,4,static_ladder,0.8,"tier-4 verbs: \bbranch\b, \bupdate\b",4
slack_real,channels_list,2,static_ladder,0.8,tier-3 verbs: \bget\b; return-shape marker -> capped at 2,2
slack_real,channels_me,2,static_ladder,0.8,tier-2 verbs: \blist\b,2
slack_real,conversations_add_message,4,static_ladder,0.8,tier-4 verbs: \badd\b,4
slack_real,conversations_history,3,static_ladder,0.8,"tier-3 verbs: \bget\b, \bhistor(y|ies)\b",3
slack_real,conversations_join,4,static_ladder,0.8,tier-4 verbs: \bjoin\b,4
slack_real,conversations_leave,4,static_ladder,0.8,tier-4 verbs: \bleave\b,5
slack_real,conversations_mark,2,static_ladder,0.8,tier-3 verbs: \bread\b; return-shape marker -> capped at 2,2
slack_real,conversations_replies,3,static_ladder,0.8,"tier-3 verbs: \bget\b, \breplies\b, \bthread\b",3
slack_real,conversations_search_messages,3,static_ladder,0.8,tier-3 verbs: \bsearch\b,3
slack_real,conversations_unreads,3,static_ladder,0.8,tier-3 verbs: \bget\b,3
slack_real,usergroups_create,4,static_ladder,0.8,"tier-4 verbs: \bcreate\b, \bjoin\b",4
slack_real,usergroups_list,2,static_ladder,0.8,"tier-2 verbs: \blist\b, \bcounts?\b, \bnames?\b",2
slack_real,usergroups_me,5,static_ladder,0.8,tier-5 verbs: \bremove\b,4
slack_real,usergroups_update,4,static_ladder,0.8,tier-4 verbs: \bupdate\b,4
slack_real,usergroups_users_update,5,static_ladder,0.8,tier-5 verbs: \bremove\b,5
slack_real,users_search,3,static_ladder,0.8,"tier-3 verbs: \bsearch\b, \bdisplay\b, \bdetails?\b",3
