tool,impact,confidence,evidence,capability_flags
get_cik_by_ticker,3,0.8,tier-3 verbs: get,
get_company_info,3,0.8,"tier-3 verbs: get, query",
search_companies,3,0.8,"tier-3 verbs: search, query",raw-query: `query` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format); unbounded: `limit` caller controls result volume
get_company_facts,3,0.8,tier-3 verbs: get,
get_recent_filings,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
get_filing_content,3,0.8,"tier-3 verbs: get, contents?",
analyze_8k,3,0.35,no verb evidence -> annotation/default,
get_filing_sections,3,0.8,tier-3 verbs: get,
get_financials,3,0.8,"tier-3 verbs: get, query",
get_segment_data,3,0.8,tier-3 verbs: get,
get_key_metrics,3,0.8,"tier-3 verbs: get, retrieve; bulk signal (array param or bulk wording)",
compare_periods,3,0.8,tier-3 verbs: compare,
discover_company_metrics,3,0.8,tier-3 verbs: search,
get_xbrl_concepts,3,0.8,"tier-3 verbs: get, extract; bulk signal (array param or bulk wording)",
discover_xbrl_concepts,2,0.8,tier-2 verbs: discover,
get_insider_transactions,3,0.8,"tier-3 verbs: get, query; bulk signal (array param or bulk wording)",unbounded: `limit` caller controls result volume
get_insider_summary,3,0.8,"tier-3 verbs: get, query, summar(y|ise|ize)",
get_form4_details,3,0.8,"tier-3 verbs: get, details?",
analyze_form4_transactions,3,0.8,"tier-3 verbs: extract, query, details?",unbounded: `limit` caller controls result volume
analyze_insider_sentiment,3,0.35,no verb evidence -> annotation/default,
get_recommended_tools,3,0.8,tier-3 verbs: get,
