arm,server,asset,scanner_v7,scanner_baseline,implied_v7,implied_baseline,verdict,policy_divergence,scanner_error,error_size,baseline_faithful,class_v7,class_baseline,quote_v7,reasoning_v7,confidence_v7
iso,fs_corp_filesystem,audit-records,4,4,4,4,agrees,False,False,0,True,Confidential,Confidential,Records whose worth is being complete rather than being secret are Confidential on criticality.,"The audit records' value lies in their completeness, which aligns with the policy's criteria for 'Confidential'. This classification indicates serious lasting harm one step removed.",1.0
iso,fs_corp_filesystem,directory-contents,3,2,3,2,justified,True,False,0,True,Internal,Routine,"One directory listing, with or without sizes; no contents (owner: IT Operations; loss axis: disclosure)",The asset is a single directory listing and does not contain sensitive content. The policy states that such listings are meant to stay in-org but do not cause lasting harm.,1.0
iso,fs_corp_filesystem,directory-records,4,3,3,2,scanner_error,True,True,1,False,Internal,Routine,"directory-records: What a directory create or move targets | IT Operations | `create_directory`, `move_file` | `create_directory` - and only against `project-material` | modification, then disclosure",The asset 'directory-records' is classified as Internal because it involves operations that are meant to stay in-org but do not cause lasting harm.,1.0
iso,fs_corp_filesystem,directory-structure,4,2,4,2,justified,True,False,0,True,Confidential,Routine,"Recursive tree of every name and path on the share, no contents; our paths name teams and the security scope",The asset 'directory-structure' discloses the layout of the corporate file share which is sensitive as it names teams and reveals the security scope. This aligns with the policy's classification for serious lasting harm.,1.0
iso,fs_corp_filesystem,file-contents,4,5,5,5,scanner_error,False,True,-1,True,Restricted,Restricted,"What any content read returns — inherits the classification of the most sensitive file the call reaches, which on this share can be key material","The asset 'file-contents' inherits the classification of the most sensitive file it reaches, and since it can reach key material classified as Restricted, it is also classified as Restricted.",1.0
iso,fs_corp_filesystem,file-directory,3,2,4,2,scanner_error,True,True,-1,True,Confidential,Routine,"a scope ranks at least as high as the most sensitive asset it reaches, and a scope holding a complete population ranks a step above any single member.","The 'file-directory' asset allows searching over names and paths across the share, which can disclose the layout of the entire share. This raises its classification to Confidential due to the sensitivity of the assets it may reach.",1.0
iso,fs_corp_filesystem,file-metadata,2,2,2,2,agrees,False,False,0,True,Routine,Routine,"Names, sizes and timestamps are Routine — except that a listing which reaches the whole share discloses the layout, and aggregation raises it: a scope ranks at least as high as the most sensitive asset it reaches, and a scope holding a complete population ranks a step above any single member.","The policy explicitly states that sizes, timestamps, and permissions are classified as Routine unless they disclose the layout of the share. Since 'file-metadata' only includes these attributes without disclosing the layout, it is classified as Routine.",1.0
iso,fs_corp_filesystem,file-records,4,3,4,3,justified,True,False,0,True,Confidential,Internal,Material that ships to production is Confidential on modification-sensitivity even where reading it is mild.,"The asset `file-records` includes product source material, which the policy states should be classified as Confidential due to its sensitivity to unauthorized modification.",0.9
iso,fs_corp_filesystem,media-records,4,4,3,4,scanner_error,True,True,1,True,Internal,Confidential,media-records | What an image or binary read returns | IT Operations | `read_media_file` | `read_media_file` | disclosure,"The asset 'media-records' is classified as Internal because its loss axis is disclosure, and it does not fall under any higher classification criteria.",1.0
iso,fs_corp_filesystem,mount-directory,1,2,1,2,justified,True,False,0,True,Public,Routine,"`public-overview` | Published overview and README material | Corporate Communications | `read_file`, `read_text_file` | `read_file`, `read_text_file` | none material","The asset 'mount-directory' is described as a list of roots this server is permitted to serve, which aligns with the description of 'public-overview', indicating no confidentiality left to lose.",0.9
iso,fs_corp_filesystem,onboarding-material,3,3,3,3,agrees,False,False,0,True,Internal,Internal,Org charts and onboarding documents; near-public internally,"The description of the asset indicates that it is 'near-public internally', suggesting a level of confidentiality that is disruptive and embarrassing but recoverable.",1.0
iso,fs_corp_filesystem,payroll-records,4,4,4,4,agrees,False,False,0,True,Confidential,Confidential,"Legal requirements: Is the material subject to a statutory duty, a contract, or an employment obligation? Payroll carries employment and data-protection duties; nothing else on this share is regulated.","The payroll records are classified as Confidential due to their legal obligations under employment and data protection duties. This classification aligns with the policy's definition of serious lasting harm one step removed, which corresponds to a tier of 4.",1.0
iso,fs_corp_filesystem,product-source,4,4,4,4,agrees,False,False,0,True,Confidential,Confidential,Material that ships to production is Confidential on modification-sensitivity even where reading it is mild.,"The policy explicitly states that material shipping to production is classified as 'Confidential' due to its sensitivity to unauthorized modification, despite the fact that reading it may not be severe.",1.0
iso,fs_corp_filesystem,project-material,4,3,3,3,scanner_error,False,True,1,True,Internal,Internal,"project-material | Schemas, defect lists and working project documents | Product Engineering | read_file, read_text_file, read_multiple_files, write_file, edit_file, move_file | read_file, read_text_file, read_multiple_files, edit_file — the one asset an agent may amend | disclosure",The policy states that 'project-material' is meant to stay in-org and its unauthorized disclosure would be embarrassing but recoverable.,1.0
iso,fs_corp_filesystem,public-overview,1,1,1,1,agrees,False,False,0,True,Public,Public,"`public-overview` | Published overview and README material | Corporate Communications | `read_file`, `read_text_file` | `read_file`, `read_text_file` | none material","The asset is described as published material, which aligns with the 'Public' classification where no confidentiality is lost.",1.0
iso,fs_corp_filesystem,security-keys,4,5,5,5,scanner_error,False,True,-1,True,Restricted,Restricted,"Key-shaped material — private keys, certificates, tokens, anything that authenticates — is Restricted on the value and disclosure-sensitivity criteria together.",The asset 'security-keys' fits the description of key-shaped material which is classified as Restricted due to its high value and sensitivity to unauthorized disclosure.,1.0
iso,github_helios,branch-directory,2,2,2,2,agrees,False,False,0,True,Routine,C>I>A,"Names, branches, commit messages and issue titles are Routine — except that repository names map the security perimeter, so a full catalog enumeration classifies Internal.","The asset 'branch-directory' contains branch names and refs without contents. According to the policy, such material is classified as Routine unless it maps the security perimeter, which this does not.",1.0
iso,github_helios,branch-heads,4,4,5,5,scanner_error,False,True,-1,False,Restricted,Restricted,"A repository whose content runs on, configures or authenticates into the operational technology estate is Restricted on the modification-sensitivity and criticality criteria together.","The asset `branch-heads` affects what deploys inside the security perimeter, which aligns with the policy's definition of a 'Restricted' class due to its high sensitivity to unauthorized modification.",1.0
iso,github_helios,code-records,3,4,4,4,scanner_error,False,True,-1,True,Confidential,Confidential,`code-records` | Code search results — snippets drawn from every repository in scope at once | Platform Engineering | `search_code` | **none** — one call crosses the whole estate; see the aggregation rule below | disclosure,"The asset is classified as Confidential because it involves code search results that cross the entire estate, which is sensitive due to its potential for disclosing BES Cyber System Information.",1.0
iso,github_helios,commit-list,3,2,3,2,justified,True,False,0,True,Internal,Routine,Non-OT documentation and issue discussion are Internal.,"The asset 'commit-list' contains commit messages and metadata, which falls under non-OT documentation. The policy states that such material is classified as 'Internal'.",1.0
iso,github_helios,helios-grid-infra-config,4,4,5,5,scanner_error,False,True,-1,False,Restricted,Restricted,Infrastructure and deploy configuration for systems inside the CIP electronic security perimeter; a merge reconfigures the perimeter,"The asset's description indicates that it directly affects the operational technology estate, which aligns with the 'Restricted' classification due to its criticality and sensitivity to modification.",1.0
iso,github_helios,helios-market-bidding-engine,3,4,4,4,scanner_error,False,True,-1,True,Confidential,Confidential,"Market bidding strategy is Confidential on value and stays so after the trading day, because it discloses the model.",The asset 'helios-market-bidding-engine' contains market bidding strategy code which is classified as Confidential due to its high value and potential for disclosure harm.,1.0
iso,github_helios,helios-ot-runbooks,3,4,4,4,scanner_error,False,True,-1,True,Confidential,Confidential,"Material that *describes* the OT estate rather than running it — runbooks, switching procedures, patch windows, topology — is BES Cyber System Information and classifies Confidential on the legal-requirements criterion even though it is only prose; the CIP obligation attaches to the description, not just the system.","The asset 'helios-ot-runbooks' contains switching procedures, patch windows, and CIP evidence collection which are classified as BES Cyber System Information. According to the policy, such material is Confidential due to legal requirements.",1.0
iso,github_helios,helios-public-site,1,1,1,1,agrees,False,False,0,True,Public,Public,The public website and network status pages; already published (owner: Corporate Communications; loss axis: modification),"The asset is described as 'already published', which aligns with the Public class definition.",1.0
iso,github_helios,helios-scada-gateway,4,5,5,5,scanner_error,False,True,-1,True,Restricted,Restricted,"Protocol gateway between the control room and field RTUs; a BES cyber system, and a release here reaches the dispatch path","The asset is classified as Restricted due to its critical role in the dispatch path, which aligns with the policy's criteria for modification sensitivity and criticality.",1.0
iso,github_helios,issue-catalog,3,2,3,2,justified,True,False,0,True,Internal,Routine,Non-OT documentation and issue discussion are Internal.,"The asset 'issue-catalog' falls under non-OT documentation, which is classified as Internal according to the policy's recognition rules.",1.0
iso,github_helios,issue-records,4,3,3,3,scanner_error,False,True,1,True,Internal,Internal,Non-OT documentation and issue discussion are Internal.,"The asset 'issue-records' falls under non-OT documentation, which is classified as Internal according to the policy's recognition rules.",1.0
iso,github_helios,issues-and-comments,3,3,3,3,agrees,False,False,0,True,Internal,Internal,Non-OT documentation and issue discussion are Internal.,"The asset 'issues-and-comments' falls under the category of non-OT documentation and issue discussion, which is classified as Internal according to the policy's recognition rules.",1.0
iso,github_helios,org-external-copies,3,4,4,4,scanner_error,False,True,-1,True,Confidential,Confidential,"Material that *describes* the OT estate rather than running it — runbooks, switching procedures, patch windows, topology — is BES Cyber System Information and classifies Confidential on the legal-requirements criterion even though it is only prose; the CIP obligation attaches to the description, not just the system.","The asset `org-external-copies` involves forks and repositories created outside the org boundary, which includes BES Cyber System Information. According to the policy, such material classifies as Confidential due to legal requirements.",1.0
